player_id,first_name,last_name,birth_date,birth_city,birth_country,birth_state_province,birth_year,birth_month
8467867,Bryan,Adams,3/20/1977,Fort St. James,CAN,British Columbia,1977,3
8445176,Donald,Audette,9/23/1969,Laval,CAN,Quebec,1969,9
8460014,Eric,Bertrand,4/16/1975,St-Ephrem,CAN,Quebec,1975,4
8460510,Jason,Botterill,5/19/1976,Edmonton,CAN,Alberta,1976,5
8459596,Andrew,Brunette,8/24/1973,Sudbury,CAN,Ontario,1973,8
8445733,Kelly,Buchberger,12/2/1966,Langenburg,CAN,Saskatchewan,1966,12
8460573,Hnat,Domenichelli,2/17/1976,Edmonton,CAN,Alberta,1976,2
8459450,Shean,Donovan,1/22/1975,Timmins,CAN,Ontario,1975,1
8446675,Nelson,Emerson,8/17/1967,Hamilton,CAN,Ontario,1967,8
8446823,Ray,Ferraro,8/23/1964,Trail,CAN,British Columbia,1964,8
8447071,Johan,Garpenlov,3/21/1968,Stockholm,SWE,NA,1968,3
8460482,Stephen,Guolla,3/15/1973,Toronto,CAN,Ontario,1973,3
8460524,Matt,Johnson,11/23/1975,Welland,CAN,Ontario,1975,11
8459571,Andreas,Karlsson,8/19/1975,Ludvika,SWE,NA,1975,8
8458888,Denny,Lambert,1/7/1970,Wawa,CAN,Ontario,1970,1
8458649,Martin,Prochazka,3/3/1972,Slany,CZE,NA,1972,3
8451673,Mike,Stapleton,5/5/1966,Sarnia,CAN,Ontario,1966,5
8467055,Patrik,Stefan,9/16/1980,Pribram,CZE,NA,1980,9
8459562,Per,Svartvadet,5/17/1975,Ornskoldsvik,SWE,NA,1975,5
8459414,Dean,Sylvester,12/30/1972,Hanson,USA,Massachusetts,1972,12
8465975,Herbert,Vasiljevs,5/27/1976,Riga,LVA,NA,1976,5
8458587,Vladimir,Vujtek,2/17/1972,Ostrava,CZE,NA,1972,2
8458348,Ed,Ward,11/10/1969,Edmonton,CAN,Alberta,1969,11
8462090,Petr,Buzek,4/26/1977,Jihlava,CZE,NA,1977,4
8465122,Brett,Clark,12/23/1976,Wapella,CAN,Saskatchewan,1976,12
8456024,Kevin,Dean,4/1/1969,Madison,USA,Wisconsin,1969,4
8459482,Maxim,Galanov,3/13/1974,Krasnoyarsk,RUS,NA,1974,3
8456514,David,Harlock,3/16/1971,Toronto,CAN,Ontario,1971,3
8467949,Frantisek,Kaberle,11/8/1973,Kladno,CZE,NA,1973,11
8459098,Geordie,Kinnear,7/9/1973,Simcoe,CAN,Ontario,1973,7
8457264,Chris,Mcalpine,12/1/1971,Roseville,USA,Minnesota,1971,12
8449754,Gord,Murphy,2/23/1967,Willowdale,CAN,Ontario,1967,2
8460004,Ruman,Ndur,7/7/1975,Zaria,NGA,NA,1975,7
8451333,Darryl,Shannon,6/21/1968,Barrie,CAN,Ontario,1968,6
8458541,Steve,Staios,7/28/1973,Hamilton,CAN,Ontario,1973,7
8458179,Chris,Tamer,11/17/1970,Dearborn,USA,Michigan,1970,11
8462177,Yannick,Tremblay,11/15/1975,Pointe-aux-Trembles,CAN,Quebec,1975,11
8462097,Sergei,Vyshedkevich,1/3/1975,Moscow,RUS,NA,1975,1
8460761,Scott,Fankhouser,7/1/1975,Bismarck,USA,North Dakota,1975,7
8459453,Scott,Langkow,4/21/1975,Edmonton,CAN,Alberta,1975,4
8459549,Norm,Maracle,10/2/1974,Belleville,CAN,Ontario,1974,10
8457791,Damian,Rhodes,5/28/1969,St. Paul,USA,Minnesota,1969,5
8451834,Rick,Tabaracci,1/2/1969,Toronto,CAN,Ontario,1969,1
8468660,Darcy,Hordichuk,8/10/1980,Kamsack,CAN,Saskatchewan,1980,8
8462107,Tomi,Kallio,1/27/1977,Turku,FIN,NA,1977,1
8460663,Ladislav,Kohn,3/4/1975,Uherské Hradiste,CZE,NA,1975,3
8457566,Jeff,Odgers,5/31/1969,Spy Hill,CAN,Saskatchewan,1969,5
8458575,Yves,Sarault,12/23/1972,Valleyfield,CAN,Quebec,1972,12
8451392,Jarrod,Skalde,2/26/1971,Niagara Falls,CAN,Ontario,1971,2
8467658,Dan,Snyder,2/23/1978,Kitchener,CAN,Ontario,1978,2
8468444,Brad,Tapper,4/28/1978,Scarborough,CAN,Ontario,1978,4
8468443,Jean-Pierre,Vigier,9/11/1976,Notre Dame de Lourdes,CAN,Manitoba,1976,9
8445783,Adam,Burt,1/15/1969,Detroit,USA,Michigan,1969,1
8448380,Chris,Joseph,9/10/1969,Burnaby,CAN,British Columbia,1969,9
8468427,Brian,Pothier,4/15/1977,New Bedford,USA,Massachusetts,1977,4
8466282,Andrei,Skopintsev,9/28/1971,Moscow,RUS,NA,1971,9
8458052,Jiri,Slegr,5/30/1971,Jihlava,CZE,NA,1971,5
8458584,Milan,Hnilicka,6/25/1973,Litomerice,CZE,NA,1973,6
8466437,Lubos,Bartecko,7/14/1976,Kezmarok,SVK,NA,1976,7
8466183,Yuri,Butsayev,10/11/1978,Togliatti,RUS,NA,1978,10
8446165,Bob,Corkum,12/18/1967,Salisbury,USA,Massachusetts,1967,12
8462419,Jeff,Cowan,9/27/1976,Scarborough,CAN,Ontario,1976,9
8469997,Mark,Hartigan,10/15/1977,Fort St. John,CAN,British Columbia,1977,10
8468482,Dany,Heatley,1/21/1981,Freiburg,DEU,NA,1981,1
8448017,Tony,Hrkac,7/7/1966,Thunder Bay,CAN,Ontario,1966,7
8469454,Ilya,Kovalchuk,4/15/1983,Tver,RUS,NA,1983,4
8466212,Francis,Lessard,5/30/1979,Montréal,CAN,Quebec,1979,5
8468001,Derek,MacKenzie,6/11/1981,Sudbury,CAN,Ontario,1981,6
8466336,Kamil,Piros,11/20/1978,Most,CZE,NA,1978,11
8459223,Pascal,Rheaume,6/21/1973,Quebec City,CAN,Quebec,1973,6
8466240,Benjamin,Simon,6/14/1978,Shaker Heights,USA,Ohio,1978,6
8457783,Todd,Reirden,6/25/1971,Deerfield,USA,Illinois,1971,6
8467892,Kirill,Safronov,2/26/1981,St. Petersburg,RUS,NA,1981,2
8467903,Luke,Sellars,5/21/1981,Toronto,CAN,Ontario,1981,5
8467304,Andy,Sutton,3/10/1975,Kingston,CAN,Ontario,1975,3
8462115,Daniel,Tjarnqvist,10/14/1976,Umea,SWE,NA,1976,10
8468478,Mike,Weaver,5/2/1978,Brampton,CAN,Ontario,1978,5
8460696,Frederic,Cassivi,6/12/1975,Sorel,CAN,Quebec,1975,6
8469636,Pasi,Nurminen,12/17/1975,Lahti,FIN,NA,1975,12
8467941,Zdenek,Blatny,1/14/1981,Brno,CZE,NA,1981,1
8466191,Jeff,Farkas,1/24/1978,Amherst,USA,New York,1978,1
8468770,Simon,Gamache,1/3/1981,Thetford Mines,CAN,Quebec,1981,1
8459159,Chris,Herperger,2/24/1974,Esterhazy,CAN,Saskatchewan,1974,2
8456887,Vyacheslav,Kozlov,5/3/1972,Voskresensk,RUS,NA,1972,5
8457297,Shawn,McEachern,2/28/1969,Waltham,USA,Massachusetts,1969,2
8462118,Marc,Savard,7/17/1977,Ottawa,CAN,Ontario,1977,7
