team_code,season,position_type,player_id,headshot,first_name,last_name,sweater_number,position_code,shoots_catches,height_in_inches,weight_in_pounds,height_in_centimeters,weight_in_kilograms,birth_date,birth_city,birth_country,birth_state_province
ATL,19992000,forwards,8467867,https://assets.nhle.com/mugs/nhl/19992000/ATL/8467867.png,Bryan,Adams,26,L,L,72,185,183,84,3/20/1977,Fort St. James,CAN,British Columbia
ATL,19992000,forwards,8445176,https://assets.nhle.com/mugs/nhl/19992000/ATL/8445176.png,Donald,Audette,28,R,R,68,191,173,87,9/23/1969,Laval,CAN,Quebec
ATL,19992000,forwards,8460014,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460014.png,Eric,Bertrand,83,L,L,73,205,185,93,4/16/1975,St-Ephrem,CAN,Quebec
ATL,19992000,forwards,8460510,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460510.png,Jason,Botterill,28,L,L,76,217,193,98,5/19/1976,Edmonton,CAN,Alberta
ATL,19992000,forwards,8459596,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459596.png,Andrew,Brunette,15,L,L,73,215,185,98,8/24/1973,Sudbury,CAN,Ontario
ATL,19992000,forwards,8445733,https://assets.nhle.com/mugs/nhl/19992000/ATL/8445733.png,Kelly,Buchberger,7,R,L,74,200,188,91,12/2/1966,Langenburg,CAN,Saskatchewan
ATL,19992000,forwards,8460573,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460573.png,Hnat,Domenichelli,9,L,L,72,195,183,88,2/17/1976,Edmonton,CAN,Alberta
ATL,19992000,forwards,8459450,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459450.png,Shean,Donovan,10,R,R,75,218,191,99,1/22/1975,Timmins,CAN,Ontario
ATL,19992000,forwards,8446675,https://assets.nhle.com/mugs/nhl/19992000/ATL/8446675.png,Nelson,Emerson,19,R,R,70,180,178,82,8/17/1967,Hamilton,CAN,Ontario
ATL,19992000,forwards,8446823,https://assets.nhle.com/mugs/nhl/19992000/ATL/8446823.png,Ray,Ferraro,21,C,L,69,200,175,91,8/23/1964,Trail,CAN,British Columbia
ATL,19992000,forwards,8447071,https://assets.nhle.com/mugs/nhl/19992000/ATL/8447071.png,Johan,Garpenlov,29,L,L,71,185,180,84,3/21/1968,Stockholm,SWE,NA
ATL,19992000,forwards,8460482,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460482.png,Stephen,Guolla,8,C,L,72,190,183,86,3/15/1973,Toronto,CAN,Ontario
ATL,19992000,forwards,8460524,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460524.png,Matt,Johnson,12,L,L,77,235,196,107,11/23/1975,Welland,CAN,Ontario
ATL,19992000,forwards,8459571,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459571.png,Andreas,Karlsson,24,C,L,76,201,193,91,8/19/1975,Ludvika,SWE,NA
ATL,19992000,forwards,8458888,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458888.png,Denny,Lambert,27,L,L,71,211,180,96,1/7/1970,Wawa,CAN,Ontario
ATL,19992000,forwards,8458649,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458649.png,Martin,Prochazka,21,R,R,71,171,180,78,3/3/1972,Slany,CZE,NA
ATL,19992000,forwards,8451673,https://assets.nhle.com/mugs/nhl/19992000/ATL/8451673.png,Mike,Stapleton,9,C,R,70,183,178,83,5/5/1966,Sarnia,CAN,Ontario
ATL,19992000,forwards,8467055,https://assets.nhle.com/mugs/nhl/19992000/ATL/8467055.png,Patrik,Stefan,27,C,L,74,205,188,93,9/16/1980,Pribram,CZE,NA
ATL,19992000,forwards,8459562,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459562.png,Per,Svartvadet,39,C,L,73,190,185,86,5/17/1975,Ornskoldsvik,SWE,NA
ATL,19992000,forwards,8459414,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459414.png,Dean,Sylvester,11,R,R,74,210,188,95,12/30/1972,Hanson,USA,Massachusetts
ATL,19992000,forwards,8465975,https://assets.nhle.com/mugs/nhl/19992000/ATL/8465975.png,Herbert,Vasiljevs,29,R,R,71,175,180,79,5/27/1976,Riga,LVA,NA
ATL,19992000,forwards,8458587,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458587.png,Vladimir,Vujtek,19,L,L,73,203,185,92,2/17/1972,Ostrava,CZE,NA
ATL,19992000,forwards,8458348,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458348.png,Ed,Ward,22,R,R,76,220,193,100,11/10/1969,Edmonton,CAN,Alberta
ATL,19992000,defensemen,8462090,https://assets.nhle.com/mugs/nhl/19992000/ATL/8462090.png,Petr,Buzek,8,D,L,73,220,185,100,4/26/1977,Jihlava,CZE,NA
ATL,19992000,defensemen,8465122,https://assets.nhle.com/mugs/nhl/19992000/ATL/8465122.png,Brett,Clark,5,D,L,72,194,183,88,12/23/1976,Wapella,CAN,Saskatchewan
ATL,19992000,defensemen,8456024,https://assets.nhle.com/mugs/nhl/19992000/ATL/8456024.png,Kevin,Dean,6,D,L,75,205,191,93,4/1/1969,Madison,USA,Wisconsin
ATL,19992000,defensemen,8459482,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459482.png,Maxim,Galanov,41,D,L,73,210,185,95,3/13/1974,Krasnoyarsk,RUS,NA
ATL,19992000,defensemen,8456514,https://assets.nhle.com/mugs/nhl/19992000/ATL/8456514.png,David,Harlock,6,D,L,74,220,188,100,3/16/1971,Toronto,CAN,Ontario
ATL,19992000,defensemen,8467949,https://assets.nhle.com/mugs/nhl/19992000/ATL/8467949.png,Frantisek,Kaberle,5,D,L,72,190,183,86,11/8/1973,Kladno,CZE,NA
ATL,19992000,defensemen,8459098,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459098.png,Geordie,Kinnear,28,D,L,73,195,185,88,7/9/1973,Simcoe,CAN,Ontario
ATL,19992000,defensemen,8457264,https://assets.nhle.com/mugs/nhl/19992000/ATL/8457264.png,Chris,Mcalpine,38,D,R,73,215,185,98,12/1/1971,Roseville,USA,Minnesota
ATL,19992000,defensemen,8449754,https://assets.nhle.com/mugs/nhl/19992000/ATL/8449754.png,Gord,Murphy,5,D,R,74,200,188,91,2/23/1967,Willowdale,CAN,Ontario
ATL,19992000,defensemen,8460004,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460004.png,Ruman,Ndur,36,D,L,74,225,188,102,7/7/1975,Zaria,NGA,NA
ATL,19992000,defensemen,8451333,https://assets.nhle.com/mugs/nhl/19992000/ATL/8451333.png,Darryl,Shannon,29,D,L,74,210,188,95,6/21/1968,Barrie,CAN,Ontario
ATL,19992000,defensemen,8458541,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458541.png,Steve,Staios,24,D,R,73,200,185,91,7/28/1973,Hamilton,CAN,Ontario
ATL,19992000,defensemen,8458179,https://assets.nhle.com/mugs/nhl/19992000/ATL/8458179.png,Chris,Tamer,4,D,L,74,200,188,91,11/17/1970,Dearborn,USA,Michigan
ATL,19992000,defensemen,8462177,https://assets.nhle.com/mugs/nhl/19992000/ATL/8462177.png,Yannick,Tremblay,28,D,R,74,200,188,91,11/15/1975,Pointe-aux-Trembles,CAN,Quebec
ATL,19992000,defensemen,8462097,https://assets.nhle.com/mugs/nhl/19992000/ATL/8462097.png,Sergei,Vyshedkevich,3,D,L,73,200,185,91,1/3/1975,Moscow,RUS,NA
ATL,19992000,goalies,8460761,https://assets.nhle.com/mugs/nhl/19992000/ATL/8460761.png,Scott,Fankhouser,30,G,L,73,195,185,88,7/1/1975,Bismarck,USA,North Dakota
ATL,19992000,goalies,8459453,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459453.png,Scott,Langkow,35,G,L,71,200,180,91,4/21/1975,Edmonton,CAN,Alberta
ATL,19992000,goalies,8459549,https://assets.nhle.com/mugs/nhl/19992000/ATL/8459549.png,Norm,Maracle,34,G,L,69,175,175,79,10/2/1974,Belleville,CAN,Ontario
ATL,19992000,goalies,8457791,https://assets.nhle.com/mugs/nhl/19992000/ATL/8457791.png,Damian,Rhodes,1,G,L,71,195,180,88,5/28/1969,St. Paul,USA,Minnesota
ATL,19992000,goalies,8451834,https://assets.nhle.com/mugs/nhl/19992000/ATL/8451834.png,Rick,Tabaracci,31,G,L,73,181,185,82,1/2/1969,Toronto,CAN,Ontario
